x;y;layer1;layer2;voltage1;voltage2;current
869.437;1643.96;L3;L4;11.9945;11.9945;-0.1
869.437;1643.96;L4;P3V3;11.9945;11.9945;-1.55566e-10
869.437;1643.96;P3V3;BOT;11.9945;11.9945;-1.52685e-10
869.437;1743.96;TOP;GP1_GND_;6.00077e-05;6.00067e-05;1.39953e-05
869.437;1743.96;GP1_GND_;L3;6.00067e-05;6.00067e-05;-8.2422e-16
869.437;1743.96;L3;L4;6.00067e-05;6.00067e-05;-7.76598e-16
869.437;1743.96;L4;P3V3;6.00067e-05;6.00067e-05;-8.2422e-16
869.437;1743.96;P3V3;BOT;6.00067e-05;6.00067e-05;-6.79523e-16
869.437;2043.96;TOP;GP1_GND_;7.13369e-05;7.13369e-05;4.0028e-07
869.437;2043.96;GP1_GND_;L3;7.13369e-05;7.13369e-05;-9.89063e-16
869.437;2043.96;L3;L4;7.13369e-05;7.13369e-05;-9.70747e-16
869.437;2043.96;L4;P3V3;7.13369e-05;7.13369e-05;-9.23126e-16
869.437;2043.96;P3V3;BOT;7.13369e-05;7.13369e-05;-9.70747e-16
869.437;2343.96;TOP;GP1_GND_;8.03547e-05;8.03554e-05;-1.04211e-05
869.437;2343.96;GP1_GND_;L3;8.03554e-05;8.03554e-05;-1.12094e-15
869.437;2343.96;L3;L4;8.03554e-05;8.03554e-05;-9.70747e-16
869.437;2343.96;L4;P3V3;8.03554e-05;8.03554e-05;-1.055e-15
869.437;2343.96;P3V3;BOT;8.03554e-05;8.03554e-05;-9.70747e-16
885.112;2690.5;TOP;GP1_GND_;9.08628e-05;9.08628e-05;-1.80091e-16
885.112;2690.5;GP1_GND_;L3;9.08628e-05;9.08628e-05;-3.18048e-16
885.112;2690.5;L3;L4;9.08628e-05;9.08628e-05;-3.24164e-16
885.112;2690.5;L4;P3V3;9.08628e-05;9.08628e-05;-3.18048e-16
885.112;2690.5;P3V3;BOT;9.08628e-05;9.08628e-05;-3.60182e-16
969.437;1643.96;TOP;GP1_GND_;-11.9955;-11.9955;0.1
969.437;1643.96;GP1_GND_;L3;-11.9955;-11.9955;0.1
969.437;1643.96;L3;L4;-11.9955;-11.9955;0.1
969.437;1643.96;L4;P3V3;-11.9955;-11.9955;1.64209e-10
969.437;1643.96;P3V3;BOT;-11.9955;-11.9955;1.27238e-10
969.437;1943.96;TOP;GP1_GND_;6.75646e-05;6.75643e-05;4.92697e-06
969.437;1943.96;GP1_GND_;L3;6.75643e-05;6.75643e-05;-9.23126e-16
969.437;1943.96;L3;L4;6.75643e-05;6.75643e-05;-9.70747e-16
969.437;1943.96;L4;P3V3;6.75643e-05;6.75643e-05;-9.23126e-16
969.437;1943.96;P3V3;BOT;6.75643e-05;6.75643e-05;-7.76598e-16
969.437;2243.96;TOP;GP1_GND_;7.90884e-05;7.9089e-05;-8.90147e-06
969.437;2243.96;GP1_GND_;L3;7.9089e-05;7.9089e-05;-1.055e-15
969.437;2243.96;L3;L4;7.9089e-05;7.9089e-05;-1.1649e-15
969.437;2243.96;L4;P3V3;7.9089e-05;7.9089e-05;-1.055e-15
969.437;2243.96;P3V3;BOT;7.9089e-05;7.9089e-05;-9.70747e-16
983.099;3390.92;TOP;GP1_GND_;0.000105731;0.000105731;-2.88146e-16
983.099;3390.92;GP1_GND_;L3;0.000105731;0.000105731;-3.66978e-16
983.099;3390.92;L3;L4;0.000105731;0.000105731;-3.96201e-16
983.099;3390.92;L4;P3V3;0.000105731;0.000105731;-3.66978e-16
983.099;3390.92;P3V3;BOT;0.000105731;0.000105731;-4.32219e-16
1002.87;1110.71;TOP;GP1_GND_;3.29643;3.29643;1.29827e-11
1002.87;1110.71;GP1_GND_;L3;3.29643;3.29643;1.16243e-11
1002.87;1110.71;L3;L4;3.29643;3.29643;1.18024e-11
1002.87;1110.71;L4;P3V3;3.29643;3.29643;1.16243e-11
1002.87;1110.71;P3V3;BOT;3.29643;3.29643;0.001
1073.61;1013.79;TOP;GP1_GND_;2.79079e-05;2.79079e-05;-9.90501e-17
1073.61;1013.79;GP1_GND_;L3;2.79079e-05;2.16212e-05;0.00567449
1073.61;1013.79;L3;L4;2.16212e-05;1.9486e-05;0.00567449
1073.61;1013.79;L4;P3V3;1.9486e-05;1.9486e-05;-7.03375e-17
1073.61;1013.79;P3V3;BOT;1.9486e-05;1.9486e-05;-7.20365e-17
1074.23;789.188;TOP;GP1_GND_;3.29643;3.29643;9.44196e-12
1074.23;789.188;GP1_GND_;L3;3.29643;3.29643;8.81844e-12
1074.23;789.188;L3;L4;3.29643;3.29643;8.26172e-12
1074.23;789.188;L4;P3V3;3.29643;3.29643;8.81844e-12
1074.23;789.188;P3V3;BOT;3.29643;3.29643;-1.18024e-11
1094.2;3160.6;TOP;GP1_GND_;0.000105494;0.000105494;1.80091e-16
1094.2;3160.6;GP1_GND_;L3;0.000105494;0.000105494;-3.66978e-16
1094.2;3160.6;L3;L4;0.000105494;0.000105494;-3.96201e-16
1094.2;3160.6;L4;P3V3;0.000105494;0.000105494;-3.66978e-16
1094.2;3160.6;P3V3;BOT;0.000105494;0.000105494;-4.32219e-16
1101.44;3040.31;TOP;GP1_GND_;0.000103396;0.000103396;-1.08055e-16
1101.44;3040.31;GP1_GND_;L3;0.000103396;0.000103396;-3.54746e-16
1101.44;3040.31;L3;L4;0.000103396;0.000103396;-3.96201e-16
1101.44;3040.31;L4;P3V3;0.000103396;0.000103396;-3.66978e-16
1101.44;3040.31;P3V3;BOT;0.000103396;0.000103396;-3.96201e-16
1162.65;254.67;TOP;GP1_GND_;1.60879e-05;1.60879e-05;4.71758e-16
1162.65;254.67;GP1_GND_;L3;1.60879e-05;1.64494e-05;-0.00569827
1162.65;254.67;L3;L4;1.64494e-05;1.65722e-05;-0.00569827
1162.65;254.67;L4;P3V3;1.65722e-05;1.65722e-05;-5.34065e-17
1162.65;254.67;P3V3;BOT;1.65722e-05;1.65722e-05;-1.57253e-16
1162.65;3601.13;TOP;GP1_GND_;0.000111506;0.000111506;4.40307e-15
