refdes;pin;voltage;current
U5B;2;3.29985;-0.00599986
U5B;17;0.00014313;0.00450041
U5B;12;0.000152685;0.00449991
U5B;9;0.000156724;0.00449969
U5B;3;0.00015077;0.00450001
U6;3;3.29982;-0.007
IC20;8;3.29945;-0.0599909
IC20;9;3.29947;-0.0600093
U1;17;3.29971;-0.0350075
U1;26;3.29968;-0.0349926
U1;6;0.000119851;0.0700001
U4A;6;4.99945;-0.0589998
U4A;17;0.000119042;-1.0000000000287557e-07
U4B;6;4.99941;-0.0589998
U4B;17;0.000110731;-1.0000000000287557e-07
IC3;22;-2.49919;0.0324985
IC3;21;-2.49919;0.0324982
IC3;16;-2.49918;0.0324947
IC3;15;-2.4992;0.0325085
U4A;12;-4.99941;0.0295048
U4A;4;-4.99939;0.0294952
U4B;12;-4.99949;0.029517
U4B;4;-4.99941;0.0294829
J16;15;11.9944;-0.0999998
J16;13;6.00077e-05;1.4000000000000123e-05
J16;1;8.03547e-05;-1.0500000000000093e-05
J16;4;7.90884e-05;-8.899999999999186e-06
J16;7;7.13369e-05;3.999999999976245e-07
J16;10;6.75647e-05;4.8999999999986554e-06
J3;25;11.9977;-0.1
J3;21;0.000108175;-8.659999999999744e-06
J3;23;0.000107992;-8.460000000000065e-06
J3;24;0.000118802;-1.996000000000029e-05
J3;11;9.61977e-05;4.060000000000175e-06
J3;12;0.000104321;-4.559999999999807e-06
J3;14;0.000110255;-1.0880000000000438e-05
J3;15;0.000103939;-4.160000000000448e-06
J3;18;0.000118254;-1.9380000000000265e-05
J3;17;0.00010711;-7.539999999999457e-06
J3;20;0.000119762;-2.0979999999999437e-05
J3;2;7.73227e-05;2.411999999999987e-05
J3;3;7.6515e-05;2.4979999999999968e-05
J3;6;8.72977e-05;1.3520000000000372e-05
J3;5;8.05563e-05;2.0679999999999484e-05
J3;8;9.32641e-05;7.17999999999986e-06
J3;9;9.05745e-05;1.0040000000000222e-05
J3;26;-11.9977;0.1
J16;16;-11.9955;0.0999998
IC9;8;9.00823e-05;5e-05
IC9;11;9.00239e-05;5e-05
IC16;11;8.69093e-05;5e-05
IC16;8;8.71022e-05;5e-05
IC18;6;5.49282;-0.0777000333
IC18;2;5.49282;-0.0777000333
IC18;1;5.49282;-0.0777000333
IC18;11;9.25363e-05;3.33338e-05
IC18;8;9.26229e-05;3.33338e-05
IC18;5;9.68315e-05;3.33324e-05
IC19;1;5.49306;-0.05905
IC19;2;5.49306;-0.05905
IC19;8;9.47712e-05;5e-05
IC19;11;9.49519e-05;5e-05
IC17;2;-5.4955;0.1181
IC17;1;8.48487e-05;-0.0001
IC8;2;-5.49559;0.1301
IC8;1;8.31008e-05;-0.0001
IC21;2;12.9991;-0.10005
IC21;1;12.9991;-0.10005
IC21;11;5.58282e-05;3.33343e-05
IC21;8;5.57983e-05;3.33343e-05
IC21;5;6.17419e-05;3.33314e-05
IC23;2;-12.9989;0.2001
IC23;1;3.66276e-06;-0.0001
IC10;20;5.49589;-0.271962
IC10;21;5.49588;-0.271942
IC10;19;5.49589;-0.271962
IC10;33;5.49244;-0.265234
U10;1;5.49586;-0.0783109
U10;2;5.4958;-0.0782752
U10;18;5.49555;-0.0781205
IC11;pdna_pin_8_1;11.9918;-0.251916
IC11;pdna_pin_8_2;11.9918;-0.251916
IC11;pdna_pin_8_3;11.9918;-0.251701
IC11;pdna_pin_8_4;11.9918;-0.251757
U9;B5;11.9956;-0.033473
U9;B4;11.9956;-0.0334737
U9;A5;11.9956;-0.0334743
U9;A4;11.9956;-0.0334751
IC22;1;11.9868;-0.51083
IC22;3;0.000132342;0.51083
IC9;9;2.49993;0.07
IC9;10;2.49993;0.07
IC16;10;1.79993;0.1725
IC16;9;1.79993;0.1725
IC18;10;3.30022;0.1165
IC18;9;3.30022;0.1165
IC19;9;5.00022;0.059
IC19;10;5.00022;0.059
IC17;5;-4.99991;-0.118
IC8;5;-2.49991;-0.13
IC21;10;12.0;0.1
IC21;9;12.0;0.1
IC23;5;-12.0;-0.2
L12;1;11.9878;-0.510829
L12;2;11.9878;0.510829
L10;1;12.9997;-0.2001
L10;2;12.9997;0.2001
L11;1;12.9995;-0.2001
L11;2;12.9995;0.2001
L13;1;-12.9997;0.2001
L13;2;-12.9997;-0.2001
L14;1;-12.9995;0.2001
L14;2;-12.9995;-0.2001
