x,y,layer1,layer2,voltage1,voltage2,current
695.698,1264.93,L3,L4,3.87351e-05,3.6332e-05,0.00638669
695.698,1264.93,L4,P3V3,3.6332e-05,3.74398e-05,-0.001
695.698,1264.93,P3V3,BOT,3.74398e-05,3.78161e-05,-0.001
715.58,3071.88,TOP,GP1_GND_,9.95873e-05,9.95873e-05,-2.16109e-16
715.58,3071.88,GP1_GND_,L3,9.95873e-05,9.95873e-05,-3.54746e-16
715.58,3071.88,L3,L4,9.95873e-05,9.95873e-05,-3.60182e-16
715.58,3071.88,L4,P3V3,9.95873e-05,9.95873e-05,-3.54746e-16
715.58,3071.88,P3V3,BOT,9.95873e-05,9.95873e-05,-3.60182e-16
855.523,3072.06,TOP,GP1_GND_,0.000101703,0.000101703,-1.08055e-16
855.523,3072.06,GP1_GND_,L3,0.000101703,0.000101703,-3.42513e-16
855.523,3072.06,L3,L4,0.000101703,0.000101703,-3.96201e-16
855.523,3072.06,L4,P3V3,0.000101703,0.000101703,-3.66978e-16
855.523,3072.06,P3V3,BOT,0.000101703,0.000101703,-3.96201e-16
869.437,1643.96,TOP,GP1_GND_,11.9945,11.9945,-0.1
869.437,1643.96,GP1_GND_,L3,11.9945,11.9945,-0.1
869.437,1643.96,L3,L4,11.9945,11.9945,-0.1
869.437,1643.96,L4,P3V3,11.9945,11.9945,-1.55566e-10
869.437,1643.96,P3V3,BOT,11.9945,11.9945,-1.52685e-10
869.437,1743.96,TOP,GP1_GND_,6.33289e-05,6.33279e-05,1.38635e-05
869.437,1743.96,GP1_GND_,L3,6.33279e-05,6.33279e-05,-9.23126e-16
869.437,1743.96,L3,L4,6.33279e-05,6.33279e-05,-7.76598e-16
869.437,1743.96,L4,P3V3,6.33279e-05,6.33279e-05,-7.91251e-16
869.437,1743.96,P3V3,BOT,6.33279e-05,6.33279e-05,-7.76598e-16
869.437,2043.96,TOP,GP1_GND_,7.45513e-05,7.45513e-05,3.96511e-07
869.437,2043.96,GP1_GND_,L3,7.45513e-05,7.45513e-05,-9.89063e-16
869.437,2043.96,L3,L4,7.45513e-05,7.45513e-05,-9.70747e-16
869.437,2043.96,L4,P3V3,7.45513e-05,7.45513e-05,-1.055e-15
869.437,2043.96,P3V3,BOT,7.45513e-05,7.45513e-05,-7.76598e-16
869.437,2343.96,TOP,GP1_GND_,8.34835e-05,8.34842e-05,-1.03221e-05
869.437,2343.96,GP1_GND_,L3,8.34842e-05,8.34842e-05,-1.12094e-15
869.437,2343.96,L3,L4,8.34842e-05,8.34842e-05,-1.1649e-15
869.437,2343.96,L4,P3V3,8.34842e-05,8.34842e-05,-1.055e-15
869.437,2343.96,P3V3,BOT,8.34842e-05,8.34842e-05,-1.1649e-15
885.112,2690.5,TOP,GP1_GND_,9.38923e-05,9.38923e-05,-1.80091e-16
885.112,2690.5,GP1_GND_,L3,9.38923e-05,9.38923e-05,-3.18048e-16
885.112,2690.5,L3,L4,9.38923e-05,9.38923e-05,-3.60182e-16
885.112,2690.5,L4,P3V3,9.38923e-05,9.38923e-05,-3.42513e-16
885.112,2690.5,P3V3,BOT,9.38923e-05,9.38923e-05,-3.60182e-16
969.437,1643.96,TOP,GP1_GND_,-11.9955,-11.9955,0.1
