refdes,pin,voltage,current
JB3,46,4.22464e-05,0.00587079
JB3,55,5.47197e-05,0.00586418
U5A,2,3.29966,-0.00600018
U5A,10,3.29966,-0.00599992
U5A,11,3.29966,-0.00599992
U5A,3,0.000158636,0.00449992
U5A,9,0.000158558,0.00449992
U5A,12,0.000159672,0.00449986
U5A,17,0.00015097,0.00450032
U5B,11,3.29968,-0.00599995
U5B,10,3.29968,-0.00600021
U5B,2,3.29968,-0.00599986
U5B,17,0.000145806,0.00450041
U5B,12,0.000155361,0.00449991
U5B,9,0.000159401,0.00449969
U5B,3,0.000153446,0.00450001
U6,3,3.29965,-0.007
IC20,8,3.29928,-0.0599909
IC20,9,3.2993,-0.0600093
U1,17,3.29954,-0.0350075
U1,26,3.29951,-0.0349926
U1,6,0.00012366,0.0700001
U4A,6,4.99928,-0.0589998
U4A,17,0.000121786,-1.0000000000287557e-07
U4B,6,4.99925,-0.0589998
U4B,17,0.000113574,-1.0000000000287557e-07
IC3,22,-2.49919,0.0324985
IC3,21,-2.49919,0.0324982
IC3,16,-2.49919,0.0324947
IC3,15,-2.49921,0.0325085
U4A,12,-4.99941,0.0295048
U4A,4,-4.99939,0.0294952
U4B,12,-4.9995,0.029517
U4B,4,-4.99942,0.0294829
J16,15,11.9945,-0.0999998
J16,13,6.33289e-05,1.3900000000000717e-05
J16,1,8.34835e-05,-1.030000000000128e-05
J16,4,8.22292e-05,-8.79999999999978e-06
J16,7,7.45513e-05,3.999999999976245e-07
J16,10,7.08159e-05,4.8999999999986554e-06
J3,25,11.9977,-0.1
J3,21,0.000110129,-8.33999999999991e-06
J3,23,0.00010992,-8.119999999999482e-06
J3,24,0.000120853,-1.9739999999999862e-05
J3,11,9.84368e-05,4.080000000000056e-06
J3,12,0.000106648,-4.6400000000001995e-06
J3,14,0.000112519,-1.0880000000000438e-05
J3,15,0.000106048,-3.9999999999996635e-06
J3,18,0.000120405,-1.926000000000011e-05
J3,17,0.000109161,-7.309999999999955e-06
J3,20,0.000121886,-2.0840000000000268e-05
J3,2,8.00076e-05,2.366e-05
J3,3,7.90281e-05,2.4699999999999896e-05
J3,6,8.98303e-05,1.3220000000000419e-05
J3,5,8.30153e-05,2.0469999999999863e-05
J3,8,9.57247e-05,6.959999999999432e-06
J3,9,9.2886e-05,9.979999999999711e-06
J3,26,-11.9977,0.1
J16,16,-11.9955,0.0999998
IC9,8,9.31181e-05,5e-05
IC9,11,9.30595e-05,5e-05
IC16,11,8.97229e-05,5e-05
IC16,8,8.99159e-05,5e-05
IC18,6,5.49278,-0.0777000333
IC18,2,5.49278,-0.0777000333
IC18,1,5.49278,-0.0777000333
IC18,11,9.54078e-05,3.33338e-05
IC18,8,9.55002e-05,3.33338e-05
IC18,5,9.96643e-05,3.33324e-05
IC19,1,5.49302,-0.05905
IC19,2,5.49302,-0.05905
IC19,8,9.76964e-05,5e-05
IC19,11,9.78728e-05,5e-05
IC17,2,-5.4955,0.1181
IC17,1,8.79207e-05,-0.0001
IC8,2,-5.49559,0.1301
IC8,1,8.6198e-05,-0.0001
IC21,2,12.9991,-0.10005
IC21,1,12.9991,-0.10005
IC21,11,5.6626e-05,3.33343e-05
IC21,8,5.65942e-05,3.33344e-05
IC21,5,6.26803e-05,3.33313e-05
IC23,2,-12.9989,0.2001
IC23,1,3.77143e-06,-0.0001
IC10,20,5.49585,-0.271937
IC10,21,5.49584,-0.271917
IC10,19,5.49585,-0.271937
IC10,33,5.49239,-0.265192
U10,1,5.49582,-0.0783084
U10,2,5.49576,-0.0782727
U10,18,5.49551,-0.078118
IC11,pdna_pin_8_1,11.9924,-0.224929
IC11,pdna_pin_8_2,11.9924,-0.224929
IC11,pdna_pin_8_3,11.9923,-0.224758
IC11,pdna_pin_8_4,11.9924,-0.224802
U9,B5,11.9958,-0.0334683
U9,B4,11.9958,-0.033469
U9,A5,11.9958,-0.0334696
U9,A4,11.9958,-0.0334704
IC22,1,11.9872,-0.510626
IC22,3,0.000131459,0.510626
IC9,9,2.50009,0.07
IC9,10,2.50009,0.07
IC16,10,1.80008,0.1725
IC16,9,1.80008,0.1725
IC18,10,3.30005,0.1165
IC18,9,3.30005,0.1165
IC19,9,5.00005,0.059
IC19,10,5.00005,0.059
IC17,5,-4.99991,-0.118
IC8,5,-2.49992,-0.13
IC21,10,12.0001,0.1
IC21,9,12.0001,0.1
IC23,5,-12.0,-0.2
L12,1,11.9883,-0.510626
L12,2,11.9883,0.510626
L10,1,12.9997,-0.2001
L10,2,12.9997,0.2001
L11,1,12.9995,-0.2001
L11,2,12.9995,0.2001
L13,1,-12.9997,0.2001
L13,2,-12.9997,-0.2001
L14,1,-12.9995,0.2001
L14,2,-12.9995,-0.2001
