x;y;layer1;layer2;voltage1;voltage2;current
1183.05;2313.86;GP1_GND_;L3;2.49765;2.49762;0.027157
1183.05;2313.86;L3;L4;2.49762;2.49761;0.027157
1183.05;2313.86;L4;P3V3;2.49761;2.49761;-8.81844e-12
1183.05;2313.86;P3V3;BOT;2.49761;2.49761;-9.44196e-12
1191.73;952.334;TOP;GP1_GND_;-3.97062e-05;-3.97062e-05;-7.20365e-17
1191.73;952.334;GP1_GND_;L3;-3.97062e-05;-4.65795e-05;0.00620386
1191.73;952.334;L3;L4;-4.65795e-05;-4.89138e-05;0.00620386
1191.73;952.334;L4;P3V3;-4.89138e-05;-4.89138e-05;1.59024e-16
1191.73;952.334;P3V3;BOT;-4.89138e-05;-4.89138e-05;1.80091e-16
1193.74;2899.85;TOP;GP1_GND_;5.03347e-05;5.03347e-05;-1.26064e-16
1193.74;2899.85;GP1_GND_;L3;5.03347e-05;5.03347e-05;-1.77373e-16
1193.74;2899.85;L3;L4;5.03347e-05;5.03347e-05;-1.80091e-16
1193.74;2899.85;L4;P3V3;5.03347e-05;5.03347e-05;-1.83489e-16
1193.74;2899.85;P3V3;BOT;5.03347e-05;5.03347e-05;-1.80091e-16
1208.6;3214.57;TOP;GP1_GND_;4.99208;4.99211;-0.059
1208.6;3214.57;GP1_GND_;L3;4.99211;4.99217;-0.059
1208.6;3214.57;L3;L4;4.99217;4.99219;-0.059
1208.6;3214.57;L4;P3V3;4.99219;4.99219;4.00838e-12
1208.6;3214.57;P3V3;BOT;4.99219;4.99219;4.72098e-12
1224.24;1462.77;TOP;GP1_GND_;-2.4951;-2.4951;1.18025e-12
1224.24;1462.77;GP1_GND_;L3;-2.4951;-2.4951;2.40503e-12
1224.24;1462.77;L3;L4;-2.4951;-2.4951;2.36049e-12
1224.24;1462.77;L4;P3V3;-2.4951;-2.4951;8.81844e-12
1224.24;1462.77;P3V3;BOT;-2.4951;-2.4951;9.44196e-12
1224.43;1789.37;TOP;GP1_GND_;-2.49515;-2.49515;-3.54074e-12
1224.43;1789.37;GP1_GND_;L3;-2.49515;-2.49515;-2.00419e-12
1224.43;1789.37;L3;L4;-2.49515;-2.49515;-2.36049e-12
